Comments ,Label
আমার কাছ থেকে গত ২৪ তারিখে ৬০০ টাকা নিয়েছে কিন্তু তাদের নাম্বারে ফোন দিয়ে কোন উপায় নেই। যে টাকাটা ফেরত দেবে তাকে আমি ফিফটি পার্সেন্ট দেবো।,Partial Fraud
আমার বিকাশ থেকে ৮২৫০ টাকা চুর নিয়ে গেছে এখন কি টাকা আর পাৰো না।,Fraud
আমার বিকাশ  হ্যাক করে ৫০ হাজার টাকা নিয়ে গেছে যদি আমাকে এই বিষয়ে একটু  হেল্প করতেন প্লিজ।,Partial Fraud
বৃত্তির কথা বলে আমার থেকে আজকে ৩৫ হাজার টাকা নিয়ে গেছে। আল্লাহ তাদের তুমি ক্ষমা করো না।,Partial Frauad
"ভাই একলোক আমার থেকে প্রতারণা করে ১৫ হাজার নিয়ে গেছে , কি করতে পারি এখন?",Partial  Fraud
"ভাই করোনা ভাইরাস এর কথা বলে আমার থেকে ১৪/০৩/২২, রাত ৮টা ৫মিনিটে ২০৪০০ টাকা নিয়ে গেছে। কি করবো?",Partial Fraud
১৫ হাজার টাকা চলে গেলো আমার।,Fraud
ভাই আমার পরিচিতো এক জন মহিলা বিকাশ ভেরিফাই কোট টি বলার পর টাকা নিয়ে গেছে মহিলাটি সহজ সরল তো তাই বলে দিছে এখন কি করনিও?,Partial Fraud
ভাইয়া আজকে আমার বোন থেকে ৪ হাজার টাকা নিয়ে গেছে। তিনি না বুঝে পাসওয়ার্ড দিছে তারপর পিন চাইসে পিনও দিয়ে দিছে। এখন পিন চেঞ্জ করে ফেলেছি। এখন কি কোনো সমস্যা হবে? তারা কি এখন পাসওয়ার্ড এর মাধ্যমে টাকা নিতে পারবে?,Fraud
,
"উপবৃত্তির টাকার কথা বলে আমার থেকে আজকে সন্ধ্যায় ২০০০ টাকা নিয়েছে। আমি কি করবো? হেল্প করেন,এটা আমার কষ্টের টাকা।",Fraud
আমার থেকে আজ ১৫০০টাকা নিয়েছে।,Fraud
"ভাই আমাকে এক প্রতারক ফোন দিয়ে বলে তাকে ৫০০০ টাকা না দিলে সে আমার একাউন্ট লক করে রাখবে এখন তাকে আমি টাকা দেইনি আমার একাউন্ট বন্ধ হয়ে গেছে, আমার একাউন্টে প্রায় ২৮০০০ টাকা আছে আমি কি করতে পারি??",Partial Fraud
১২০০০ টাকা গেছে।,Fraud
"আজকে আমার ৫০০০হাজার টাকা নিয়ে গেছে। একটা নম্বর থেকে ফোন দিসিলো আমিও বুজতে পারিনি , যা যা বলেছে করেছি। নিজের ভুলে সব গেলো। টাকাটা খুব প্রয়োজন ছিল।",Fraud
ভাইয়া আমি আছকে প্রতারনা হইছি 25হাজার টাকা নিয়ে গেছে আমি খুব গরিব এ-ই মেয়েটার সাথে যা হইছে আমার সাথেও এটা হইছে আমি এখন কি করবো আমি জানিনা আমার সাথে এইটাহইছে,Fraud
"গত পহেলা বৈশাখে আমার স্বামীর কাছ থেকেও (এক লাখ ছয় হাজার টাকা) নিয়েছে এই বাটপাররা, ফরিদপুর থেকে",Partial Fraud
আমার সেপ্টেম্বর এর ১১ তারিখ ৩০ হাজার টাকা নিয়ে গেছে।। আমি এদের উপযুক্ত বিচার চাই।। এদের ফাসি দেওয়া হোক।। অসহায় মানুষদের নিঃস্ব করে দেয়,Partial Fraud
ভাইয়া আমাকে একটু সাহায্য করেন। আমার কাছ থেকেও গতকালকে 69 হাজার 800 টাকা এভাবে প্রতারণা করে নিয়ে গেছে। এখন আমার চাকরি নিয়ে টানাটানি অবস্থা। আমার এখন মরে যাওয়ার মত অবস্থা হয়ে গেছে,Fraud
ভাই একই ভাবে আমর পরিবারের এক সদস্য এর কাছ থেকে গত সপ্তাহে 140000 টাকা নিয়ে গেসে 3 টা নম্বর থেকে থানায় জানিয়েও কোন লাভ হয়নি এদের কোন বিচার আমরা করতে পারছি না,Partial Fraud
আমার আম্মুকে বোকা বানিয়ে বিকাশ থেকে ৮০০০ টাকা নিয়েছিল,Fraud
10000 ধরা খাইসি আমি কেয়ারে কল দেয়ার পর আর কিছু বলেনি,Partial Fraud
আমাকেও এরকম বলে ১৪৫৯০ টা নিয়েছে,Partial Fraud
আমার ৭৫০০০ টাকা নিয়া গেছে ০৫/০৬/২০২১ কিশোরগঞ্জ থেকে কোনো সাহায্য পাইনাই থানাই,Fraud
"ভাই এরকম করে আজকে আমার কাছ থেকে ১২০০০ হাজার টাকা নিয়া গেছে প্রতারকরা,,এখন করণীয় কি ভাই একটু জানতে চাই",Partial Fraud
এরা আমার বাবা বিকাশ কোড চুরি করছি 30 টাকা নেছে,Partial Fraud
ভাই আমাকে কেউ সাহায্য করুন।আমার ৫০০০০ টাকা মেরে দিছে ১১/১১/২০ তারিখে। কি করলে ধরতে পারবো কেউ বলেন দয়া করে?,Partial Fraud
আমার ২১৪০০ টাকা নিয়ে গেছে কেউ কি কোনো ভাবে আমাকে সাহায্য করবেন,Fraud
আমার ছেলের কাছ থেকে গত মাসে ১৩০০০টাকা নিয়েছে,Partial Fraud
আমার সাথেও এমন করছে 15 হাজার টাকা নিয়ে গেছে,Fraud
আমার এক পরিচিত ভাইয়ের ১১৪০০ টাকা এক প্রতারক নিয়ে গেছে বিকাশ থেকে । আমি না থাকলে সে আরো ২৩৭০০ টাকা নিয়ে যেত ।,Fraud
ভাই কিছুদিন আগে আমার নানার বিকাশ এর ২০হাজার ৪০০ নিয়া গেছে।,Fraud
"১/৯/২২ তারিখে,,, আমার ১৩৭,১৪১ টাকা হাতিয়ে নিয়ে গেছে৷ এক লাখ সাইত্রিশ হাজার একশত একচল্লিশ টাকা।  এই টাকা পাওয়ার কি কোনো বেবোস্থা আছে।",Partial Fraud
আমাদের ও গতকাল রাতে 4 হাজার 1 শত 60 টাকা নিয়েছেন,Fraud
আমার 28932 টাকা নিয়ে গেছে।এটাকা ফেরত পাওয়ার কোন উপায় নাই?,Partial Fraud
আমার কাছ থেকেও 53 হাজার টাকা নিয়েছে প্রতারকরা,Fraud
ভাই আমার ৫০০০০ হাজার টাকা খাইসে।,Fraud
আমার ১০ হাজার টাকা খাইছে এসব পতারক বিকাশ থেকে।,Fraud
আমার কাছ থেকে 26 হাজার টাকা নিছে,Partial Fraud
আমার ছোট বোনের ৩৫ হাজার টাকা গচ্ছা যায়।,Fraud
"আমার থেকে ২০০০০ হাজার টাকা নিছে,,,, এই রকম ভাবে",Fraud
"গতকাল রাতে আমার মামার বিকাশ এজেন্ট সিম এক্টিভেট দেওয়ার নাম করে৫০,০০০ টাকা হাতিয়ে নিয়েছে, স্থানীয় বিকাশ কাস্টোমার কেয়ার অফিসারের সিম ক্লোন করে প্রতারনা করেছে",Fraud
ওরা কিছুদিন আগে আমার ৬৫২০ টাকা হাতিয়ে নিয়েছে। আমি তাদের দ্বিষ্টান্ত মুলক স্বাস্তিদাবি করছি।,Partial Fraud
আমিও এজেন্ট আমার সাথে করেছিল আমার ধারণা বিকাশের ‍এস আর জড়িত,Partial Fraud
একইভাবে আমার এজেন্ট থেকে ও ৭০হাজার টাকা নিয়ে গেছে,Fraud
"আমার সাথে একবার এই রকম হয়েছিলো, তবে চান্স পাইনাই। 10000 টাকার লেনদেন ছিলো",Partial Fraud
আমার সাথে হুবাহু এই রকম হইছে৩০০০টাকা নিয়া গেছে আমার।ডিসেম্বরে নিছে আমার টাকাআগে দেখলে আমার টাকা গুলা যাইতো না,Fraud
ভাই এটা বিকাস পোতারকের নামবার ভাই ও আমার ১৪৩০০ টাকা নিছে ভাই।।,Fraud
ভাই আমি ত আমার OTP দিয়ে ফেলেছি। আমার বিকাশ এ ৪০০ টাকার উপরে ছিলো। টাকা জাই নাই...... আমি আমার Pin পরিবর্তন করে ফেলেছি এখন কি কোন সমসসা হবে.......plz কেও এই বেপারে জানলে একটু সাহায্য করবেন,Partial Fraud
10 দিন আগে কোরবানির জন্য টাকাটা দিল বিদেশ থেকে এই টাকাটা গায়েব হয়ে গেল 20 হাজার টাকা,Fraud
,
ভাই কালকে আমার কাছথেকে ১৬ হাজার নিয়া গেছে,Partial Fraud
ভাই আমাকে ফোন দিছিল আমিও ট্রুকলার ব্যবহার করি নাম্বার থেকেই নাম্বার থেকে ফোন দিছিল আমাকে,Partial Fraud
ভাই আমার কাছে থেকে 10000 হাজার টাকা নিয়েছে আমার মায়ের চোখের অপারেশন কারবো বলে বিকাশে টাকা রাখছিলাম সাটা নিয়েছে,Fraud
ভাই আমার 18000 টাকা নিয়ে গেছে ওরা ।,Fraud
ভাই আমার ফ্যামিলির 15 হাজার টাকা নিয়ে গেছে উদ্ধারকারার কোন উপায় আছে কি ?,Partial Fraud
ভাই... কাল রাতে 1100 টাকা হাাইছি... কাল রাতে দেক্লেও টাকা গুলা থাক্তো....আমার আম্মুর চোখের চিকিতসার টাকা ছিল...এখনো বাসায় বলিনি...বুজতে পারতাছিনা কি করবো...কেও বলুন কিভাবে টাকা গুল পেতেপারি,Partial Fraud
ভাই আমার কুত্তার বাচ্ছারা ২৫০০০/ হাজার খাইছে ঠিক একই ভাবে,Fraud
আমার এক ভাইর ৫০ হাজার টাকা নিয়ে গেছে,Fraud
"আমাকে ও দিয়েছে আর ছেলের উপবৃত্তির টাকা নিয়েছে বুঝতে পারিনি, আগে ভিডিও টা দেখলে হয়ত বা ভুলটা হত না।",Fraud
আমার ভাইয়াও বিকাশ প্রতারকের শিকার।এমনিতেই আমরা গরিব মানুষ।তার উপর আমার ভাইয়ের থেকে ২৪৫০০ টাকা মেরে দিছে। এখনো সেই টাকা শোধ করতে পারি নাই।,Fraud
আমার ৭০০০/- গেছে বিকাশ হ্যাকার এর কাছে,Fraud
বিকাশে টাকা লেনদেন খুবই ঝুঁকিপূর্ণ। ১৬৪০০ টাকা গচ্চা খেয়েছি। ঠুনকো উপায়ে টাকা ভাগিয়ে নিয়েছে। পরে সকল প্রয়োজনীয় তথ্যসহকারে বিকাশে অভিযোগ দিয়ে এবং থানায় জিডি করেও কোন ফলাফল আসেনি।,Partial Fraud
ঠিক এভাবে আমার কাছ থেকে ১০০০ টাকা নিয়ে নিছেআমি এর বিচার চাই,Fraud
আমার প্রায় ১৫০০০৳ নিয়েছে এমন জালিমরা।,Fraud
এই ভাবে আমার ছোট ভায়ের ২ লাখ টাকা নিয়ে যায়।,Partial Fraud
"আমার বাবা থেকেও ২১,০০০ টাকা নিছে",Fraud
আমার এলাকায় ৩৫০০০ টাকা জালিয়াতি করেছে,Partial Fraud
আমার কাছ থেকে ২৫০০ টাকা নিয়ে গেছে,Fraud
আমার থেকে ৫০০০০ টাকা নিয়েছে,Fraud
বিকাশ বন্ধ করে দেয়া হোক। আমার ১০০০০ টাকা মেরে দিলো।,Partial Fraud
আমার কাছ থেকে দুই বার এ ১৫০০০ হাজার টাকা নিয়ে গেলো,Partial Fraud
আমার এক বন্ধু এভাবে ৬১ হাজার টাকা প্রতারণার শিকার হয়েছে। এই দায় অবশ্যই বিকাশ কে নিতে হবে। কারন তাদের সহযোগিতা ছাড়া এটা কখনো সম্ভব না।,Partial Fraud
আমার কাছে থেকে গত ২ দিন আগে ৩১ হাজার টাকা এর সবই ছিল হ্যাকিং,Partial Fraud
নিউজ টা দেখে আমার ৫০ হাজার টাকার কথা মনে পড়ে গেলো হায়রে হ্যাকার।,Partial Fraud
এরকম করে আমার আপুর সাথে এমন হইছে ৭০ হাজার টাকা নিছে আমাদের অনেক বিপদে ফেলছে আল্লাহ জানোয়ার বিচার করুক,Fraud
আমাদের এখানেও এমন হয়েছে। ২ লক্ষ ৪০ হাজার টাকা নিয়ে নিয়েছে।,Fraud
দুঃখজনক বিষয় টি আমার আজ থেকে প্রায় বিগত ৮দিন আগে আমার একাউন্ট হ্যাকিং করে৫৫০০০ হাজার টাকা নিয়ে যায় বি বিকাশ অফিস এর হেল্প চাইলে সাহায্য করেনা তারপর থানায় ডিডি করতে গেলে ডিটি নেন না দুনুয়ার যোগ পাল্টাইগেছে,Partial Fraud
আমার এক বন্ধুর ১ লাখ ৭ হাজার টাকা এইভাবে বাঁশ খেয়েছে কয়দিন আগে।,Partial Fraud
আমার সাথেও এমনটা হতে নিছিলো কিন্তু আল্লাহর রহমতে শেষমেষ বুঝতে পারায় ১৫০০০ টাকা গচ্চা খাওয়া থেকে বেচে গেছি।,Partial Fraud
আমাকে এভাবেই টাকা মেরে দিয়েছে আমি মনে করেছিলাম বিকাশ অফিস হতে কল দিয়েছিলো,Partial Fraud
"কাল আমার এক বড় ভাইয়ের ৩৫০০০ টাকা এইভাবে হ্যাক করে উধাও করে দিছে,, এর একটা কঠিন ব্যবস্থা নেওয়া দরকার৷",Fraud
আজ 50 হাজার টাকা আমর বিকাশ থেকে হ্যাক হোইস 😭😭😭 আল্লাহ তুমি মানুষ কে হেদায়েত দিও,Fraud
গতকাল এই একই কথাগুলো বলে আমার কাছ থেকে 10900 টাকা হাতিয়ে নিয়েছে,Partial Fraud
আমারও এক নাম্বারে ভুলে 8020 টাকা চলে গেছে এখন ফোন দিলে ফোন বন্ধ করে রাখে ।,Partial Fraud
আমার সাথে আজ প্রতারণা হয়ে আমার ১৪০৬৫ টাকা মেরে দেছে,Fraud
"গত ৫ মার্চ রাতে সেইম কোশল কাটিয়ে আমার কাজ থেকে ৭,০০০ টাকা হাতিয়ে নেয়",Fraud
এই রকম ঘটনা আমার সাথে করছে ওদের ঢুকে পড়ছি আমার প্রায় সাড়ে তিন হাজার টাকা আত্মসাৎ করে নিয়েছে,Fraud
আমার ছোট বোনের বিকাশ থেকে ঠিক এই ভাবে 2000 হাজার টাকা নিয়ে গেছে।,Fraud
ভাই আমার গত বছর ১৭৮০০ টাকা নিয়েছে হ্যাকাররা,Fraud
"আমাকে প্রতি মাসে ১-২ টা ফোন করে বিকাশ চোর রা, কতো টাকা লেনদেন করলাম সেই হিসাব ও সঠিক ভাবেই বলতে পারে, কিন্তু যখন পিন নাম্বার টি জানতে ব্যর্থ হয় তখন অনেক কিছুই বলে, এমনকি আমার একাউন্ট থেকে যেভাবেই হোক টাকা নিবেই, এগুলো বলেও হুমকি দেয় ।  এদের হাত থেকে সাধারণ মানুষ রেহাই পাবে কবে ?",Partial Fraud
এর সাথে বিকাশ কর্তৃপক্ষ জড়িত আছে আমার ও গেলো একমাস আগে ১০০৪২ টাকা নিয়ে গেছে,Partial Fraud
রমজান মাসে 4000 টাকা নিয়েছে বিকাশ এসএমএস দিয়ে জানাবে দুদিন পর পাবে কিনা এই হচ্ছে তাদের কথা,Partial Fraud
"ঠিক এই ভাবে আমার ৪,২৯৯ টাকা নিছে  কোনো ভাবে বুঝতে পারিনাই",Fraud
আমাকে কল দিছিল....মহাখালি থেকে রাত ২৪ জানুয়ারি ১০:৫৩ টায়.... কিন্তু আমি কোনো তথ্য দেই নাই।,Partial Fraud
"২দিন আগে আমার আপুর ১০হাজার ৫০০, ১৪ টাকা হ্যাগ হয়ে গেছে",Fraud
আমার কাছ থেকে ১ লাখ ৩ হাজার টাকা নিয়েছে হ্যাক করে।,Fraud
গত 5 দিন পূর্বে আমার নিয়েছে 37 হাজার সাতশত টাকা এই টাকা নিতে আমার পিন নাম্বার বা ও টিভি লাগেনি শুধুমাত্র ফোনে কথা বলেছে তবে আমাকে তারা যে প্রশ্নগুলো করেছিল তাতে নিঃসন্দেহে বলতে পারি বিকাশের উচ্চপদস্থ কর্মকর্তা সাথে জড়িত,Partial Fraud
"আমার কাল একাউন্ট হ্যাক হয়ে গেছে, সেম বিকাশ অফিস থেকে কল আসে,২৩ হাজার ১৭ টাকা নিয়ে গেছে,আমি এখন কি করবো,সেই নাম্বার কল যাই না,বন্ধু ভুল এই সব বলে",Partial Fraud
কালকে আমার মায়ের মোবাইল থেকে ১৫ হাজার টাকা নিয়ে গেচে বিকাশ হেকার রা,Fraud
আমার ২৬২৯০ নিয়ে গেছে প্রতারক ২৮/১২/২১ তারিখ সকাল ১০ টা সময়,Fraud
৩ দিন আগে এই হেকাররা আমার বিকাশ থেকে ১২০০০ টাকা নিয়ে গেছে। যেই number থেকে বিকাশের ম্যানেজার হয়ে হেকার ফোন দিয়েছে সেই নাম্বার এ call দিলে ফোন ধরে কিন্তু কথা বলেনা। সেই নাম্বার এ হেকার এর ইমু id ও ছবি আছে। এখন কিভাবে টাকা টা উঠানো যায় কেউ জানেন?,Partial Fraud
আমার বন্ধু এর থেইকা ৫৫০০টাকা নিয়া গেছে,Fraud
আমি একজন প্রবাসী ভাইয়েরা আমার কাছ থেকেও 30000 টাকা নিয়ে গেছে,Fraud
"গতকাল আমাকে কল দিয়ে বলে আপনাকে সরকার থেকে ২৫০০ টাকা দিবে করুনার সেবা দেওয়ার জন্য একটা পিন কোড পাঠানো হবে পিন কোড টা দেখে বললে পাবেন ২৫০০ টাকা, পিন কোড বলতে হবে",Fraud
আমার কাছে থেকে গত ২ দিন আগে ৩১ হাজার টাকা এর সবই ছিল হ্যাকিং,Fraud
ভাই এক মেয়ে আমার ৩০৬০ টাকা মেরে খাইছে কাজ দেয়ার কথা বলে বলছিলো রোজ ৫৩০ ইনকাম করতে পারবো এই বলে ইনভেস্ট করতে বলছে ৩০৬০ টাকা দেয়ার পর ব্লক করে দিছে ওনার আইডি কাডের পিক দিছে আমাকে এখন আমার কি করনীয়?,Partial Fraud
আমার আম্মুর মামার ইমু থেকে মেসেজ ও কল দিয়ে আম্মুকে বলছে ১২ হাজার টাকা পাটাতে উনার পার্সেনাল নাম্বারে আম্মু তাকে পাটায় এখন ওই মামা বলতেছে এটা উনি  ইমু হ্যাক হয়েছে,Fraud
